Customer ID,ItemsBought,ItemsReturned,ZipCode,Product
1,45,7,1,2518
2,22,7,4,1285
3,11,10,9,1178
4,42,27,1,1061
5,10,3,4,2034
6,43,1,9,1407
7,50,41,9,1859
8,19,14,10,1569
9,5,1,7,1696
10,22,4,4,2960
11,26,3,2,1778
12,11,5,6,2236
13,21,1,8,2098
14,12,6,2,2130
15,23,20,10,2813
16,28,18,4,2442
17,9,0,4,2583
18,23,2,4,2774
19,11,6,5,1928
20,45,23,3,1758
21,27,6,5,2437
22,48,41,2,2247
23,45,10,9,2493
24,20,5,8,1777
25,22,20,9,1449
26,48,20,1,1469
27,7,5,7,1548
28,9,3,10,2794
29,50,20,4,2342
30,4,8,7,1246
